2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
50-54,"25,736","15,588","10,148","1,599",900,699,"24,137","14,688","9,449",,"43,477","23,844","19,633",0,0,0,"43,477","23,844","19,633",,,,,,,,,,,,,,,
55-59,"14,256","8,850","5,406","1,004",565,439,"13,252","8,285","4,967",,"28,982","15,903","13,079",0,0,0,"28,982","15,903","13,079",,,,,,,,,,,,,,,
60-64,"11,680","6,685","4,995",991,500,491,"10,689","6,185","4,504",,"23,691","13,187","10,504",0,0,0,"23,691","13,187","10,504",,,,,,,,,,,,,,,
65-69,"6,981","3,759","3,222",702,373,329,"6,279","3,386","2,893",,"12,788","7,201","5,587",0,0,0,"12,788","7,201","5,587",,,,,,,,,,,,,,,
70-74,"5,403","2,633","2,770",611,315,296,"4,792","2,318","2,474",,"9,441","4,936","4,505",0,0,0,"9,441","4,936","4,505",,,,,,,,,,,,,,,
75-79,"3,102","1,437","1,665",348,172,176,"2,754","1,265","1,489",,"5,264","2,690","2,574",0,0,0,"5,264","2,690","2,574",,,,,,,,,,,,,,,
80+,"4,170","1,648","2,522",502,224,278,"3,668","1,424","2,244",,"7,475","3,027","4,448",0,0,0,"7,475","3,027","4,448",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.2: Ilala Municipal Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 7.2: Ilala Municipal Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"634,924","320,408","314,516","46,027","23,801","22,226","588,897","296,607","292,290",,"1,195,936","581,184","614,752",0,0,0,"1,195,936","581,184","614,752",,,,,,,,,,,,,,,
0-4,"73,593","37,239","36,354","6,610","3,298","3,312","66,983","33,941","33,042",,"147,921","74,231","73,690",0,0,0,"147,921","74,231","73,690",,,,,,,,,,,,,,,
9-May,"69,893","34,743","35,150","5,942","2,996","2,946","63,951","31,747","32,204",,"126,018","62,597","63,421",0,0,0,"126,018","62,597","63,421",,,,,,,,,,,,,,,
4-Oct,"66,441","32,084","34,357","5,113","2,667","2,446","61,328","29,417","31,911",,"113,872","54,353","59,519",0,0,0,"113,872","54,353","59,519",,,,,,,,,,,,,,,
15-19,"73,263","32,943","40,320","4,409","2,385","2,024","68,854","30,558","38,296",,"133,722","57,244","76,478",0,0,0,"133,722","57,244","76,478",,,,,,,,,,,,,,,
20-24,"85,830","40,058","45,772","5,066","2,567","2,499","80,764","37,491","43,273",,"144,939","64,954","79,985",0,0,0,"144,939","64,954","79,985",,,,,,,,,,,,,,,
25-29,"74,561","37,621","36,940","4,350","2,263","2,087","70,211","35,358","34,853",,"131,791","61,336","70,455",0,0,0,"131,791","61,336","70,455",,,,,,,,,,,,,,,
30-34,"55,645","30,077","25,568","3,314","1,883","1,431","52,331","28,194","24,137",,"112,283","55,641","56,642",0,0,0,"112,283","55,641","56,642",,,,,,,,,,,,,,,
35-39,"38,728","21,287","17,441","2,390","1,343","1,047","36,338","19,944","16,394",,"85,699","44,336","41,363",0,0,0,"85,699","44,336","41,363",,,,,,,,,,,,,,,
40-44,"28,784","16,474","12,310","1,785",982,803,"26,999","15,492","11,507",,"61,416","33,492","27,924",0,0,0,"61,416","33,492","27,924",,,,,,,,,,,,,,,
45-49,"20,343","11,756","8,587","1,359",659,700,"18,984","11,097","7,887",,"43,752","22,200","21,552",0,0,0,"43,752","22,200","21,552",,,,,,,,,,,,,,,
50-54,"15,836","9,504","6,332","1,246",625,621,"14,590","8,879","5,711",,"31,160","17,444","13,716",0,0,0,"31,160","17,444","13,716",,,,,,,,,,,,,,,
55-59,"9,122","5,421","3,701",897,451,446,"8,225","4,970","3,255",,"20,158","11,339","8,819",0,0,0,"20,158","11,339","8,819",,,,,,,,,,,,,,,
60-64,"7,934","4,146","3,788","1,007",452,555,"6,927","3,694","3,233",,"16,279","9,023","7,256",0,0,0,"16,279","9,023","7,256",,,,,,,,,,,,,,,
65-69,"5,060","2,588","2,472",730,367,363,"4,330","2,221","2,109",,"8,953","4,853","4,100",0,0,0,"8,953","4,853","4,100",,,,,,,,,,,,,,,
70-74,"4,392","2,067","2,325",713,325,388,"3,679","1,742","1,937",,"7,319","3,584","3,735",0,0,0,"7,319","3,584","3,735",,,,,,,,,,,,,,,
75-79,"2,320","1,104","1,216",428,235,193,"1,892",869,"1,023",,"4,326","2,030","2,296",0,0,0,"4,326","2,030","2,296",,,,,,,,,,,,,,,
80+,"3,179","1,296","1,883",668,303,365,"2,511",993,"1,518",,"6,328","2,527","3,801",0,0,0,"6,328","2,527","3,801",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.3 : Temeke Municipal Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 7.3 : Temeke Municipal Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"768,451","387,364","381,087","48,518","24,894","23,624","719,933","362,470","357,463",,"1,345,051","655,638","689,413",0,0,0,"1,345,051","655,638","689,413",,,,,,,,,,,,,,,
0-4,"95,111","47,808","47,303","6,405","3,218","3,187","88,706","44,590","44,116",,"168,197","84,358","83,839",0,0,0,"168,197","84,358","83,839",,,,,,,,,,,,,,,
9-May,"87,737","43,248","44,489","5,713","2,863","2,850","82,024","40,385","41,639",,"146,146","72,254","73,892",0,0,0,"146,146","72,254","73,892",,,,,,,,,,,,,,,
4-Oct,"83,386","40,366","43,020","5,658","2,914","2,744","77,728","37,452","40,276",,"133,946","64,103","69,843",0,0,0,"133,946","64,103","69,843",,,,,,,,,,,,,,,
15-19,"88,321","40,751","47,570","4,798","2,411","2,387","83,523","38,340","45,183",,"147,806","65,074","82,732",0,0,0,"147,806","65,074","82,732",,,,,,,,,,,,,,,
20-24,"98,707","45,937","52,770","4,861","2,378","2,483","93,846","43,559","50,287",,"161,272","72,061","89,211",0,0,0,"161,272","72,061","89,211",,,,,,,,,,,,,,,
25-29,"89,835","44,364","45,471","4,760","2,509","2,251","85,075","41,855","43,220",,"149,362","70,358","79,004",0,0,0,"149,362","70,358","79,004",,,,,,,,,,,,,,,
30-34,"67,951","36,310","31,641","3,762","2,093","1,669","64,189","34,217","29,972",,"123,366","61,306","62,060",0,0,0,"123,366","61,306","62,060",,,,,,,,,,,,,,,
35-39,"46,424","25,634","20,790","2,765","1,524","1,241","43,659","24,110","19,549",,"95,237","48,618","46,619",0,0,0,"95,237","48,618","46,619",,,,,,,,,,,,,,,
40-44,"34,019","19,445","14,574","2,229","1,228","1,001","31,790","18,217","13,573",,"67,519","36,096","31,423",0,0,0,"67,519","36,096","31,423",,,,,,,,,,,,,,,
45-49,"23,073","13,543","9,530","1,577",851,726,"21,496","12,692","8,804",,"49,144","24,769","24,375",0,0,0,"49,144","24,769","24,375",,,,,,,,,,,,,,,
50-54,"17,617","10,885","6,732","1,380",746,634,"16,237","10,139","6,098",,"34,452","19,423","15,029",0,0,0,"34,452","19,423","15,029",,,,,,,,,,,,,,,
55-59,"9,891","5,999","3,892",986,519,467,"8,905","5,480","3,425",,"21,221","12,243","8,978",0,0,0,"21,221","12,243","8,978",,,,,,,,,,,,,,,
60-64,"8,981","4,904","4,077","1,041",482,559,"7,940","4,422","3,518",,"17,608","10,184","7,424",0,0,0,"17,608","10,184","7,424",,,,,,,,,,,,,,,
65-69,"5,552","2,867","2,685",741,360,381,"4,811","2,507","2,304",,"9,716","5,445","4,271",0,0,0,"9,716","5,445","4,271",,,,,,,,,,,,,,,
70-74,"4,855","2,341","2,514",706,331,375,"4,149","2,010","2,139",,"8,058","4,054","4,004",0,0,0,"8,058","4,054","4,004",,,,,,,,,,,,,,,
75-79,"2,684","1,300","1,384",428,204,224,"2,256","1,096","1,160",,"4,462","2,219","2,243",0,0,0,"4,462","2,219","2,243",,,,,,,,,,,,,,,
80+,"4,307","1,662","2,645",708,263,445,"3,599","1,399","2,200",,"7,539","3,073","4,466",0,0,0,"7,539","3,073","4,466",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 8.0:  Lindi Region : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 8.0:  Lindi Region : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"787,624","379,014","408,610","661,228","319,152","342,076","126,396","59,862","66,534",,"852,658","407,310","445,348","694,702","333,043","361,659","157,956","74,267","83,689",,,,,,,,,,,,,,,
0-4,"113,051","56,227","56,824","97,211","48,396","48,815","15,840","7,831","8,009",,"111,670","55,507","56,163","93,409","46,391","47,018","18,261","9,116","9,145",,,,,,,,,,,,,,,
9-May,"102,091","51,495","50,596","88,447","44,834","43,613","13,644","6,661","6,983",,"118,578","59,333","59,245","99,732","49,993","49,739","18,846","9,340","9,506",,,,,,,,,,,,,,,
4-Oct,"91,856","46,942","44,914","77,410","39,992","37,418","14,446","6,950","7,496",,"106,950","54,283","52,667","87,446","44,783","42,663","19,504","9,500","10,004",,,,,,,,,,,,,,,
15-19,"78,359","38,654","39,705","63,935","31,740","32,195","14,424","6,914","7,510",,"71,632","36,724","34,908","56,127","29,217","26,910","15,505","7,507","7,998",,,,,,,,,,,,,,,
20-24,"69,077","30,032","39,045","56,062","24,260","31,802","13,015","5,772","7,243",,"61,999","26,599","35,400","48,902","20,952","27,950","13,097","5,647","7,450",,,,,,,,,,,,,,,
25-29,"64,815","29,651","35,164","53,213","24,323","28,890","11,602","5,328","6,274",,"61,026","26,125","34,901","48,289","20,721","27,568","12,737","5,404","7,333",,,,,,,,,,,,,,,
30-34,"51,907","24,392","27,515","42,685","20,101","22,584","9,222","4,291","4,931",,"59,095","26,540","32,555","47,050","21,110","25,940","12,045","5,430","6,615",,,,,,,,,,,,,,,
35-39,"42,100","19,559","22,541","34,746","16,190","18,556","7,354","3,369","3,985",,"53,639","24,898","28,741","43,304","20,148","23,156","10,335","4,750","5,585",,,,,,,,,,,,,,,
40-44,"34,985","16,498","18,487","28,871","13,490","15,381","6,114","3,008","3,106",,"41,792","19,817","21,975","33,896","15,998","17,898","7,896","3,819","4,077",,,,,,,,,,,,,,,
45-49,"26,535","12,171","14,364","22,053","9,982","12,071","4,482","2,189","2,293",,"40,937","16,321","24,616","32,624","13,346","19,278","8,313","2,975","5,338",,,,,,,,,,,,,,,
50-54,"27,846","12,559","15,287","23,410","10,455","12,955","4,436","2,104","2,332",,"28,823","14,461","14,362","23,480","11,615","11,865","5,343","2,846","2,497",,,,,,,,,,,,,,,
55-59,"19,348","8,957","10,391","16,341","7,541","8,800","3,007","1,416","1,591",,"19,746","9,677","10,069","16,201","7,848","8,353","3,545","1,829","1,716",,,,,,,,,,,,,,,
60-64,"21,159","9,927","11,232","18,137","8,518","9,619","3,022","1,409","1,613",,"22,731","11,090","11,641","18,743","9,070","9,673","3,988","2,020","1,968",,,,,,,,,,,,,,,
65-69,"15,832","7,624","8,208","13,752","6,659","7,093","2,080",965,"1,115",,"15,787","7,507","8,280","13,152","6,238","6,914","2,635","1,269","1,366",,,,,,,,,,,,,,,
70-74,"12,484","6,249","6,235","10,867","5,512","5,355","1,617",737,880,,"15,183","7,338","7,845","12,810","6,203","6,607","2,373","1,135","1,238",,,,,,,,,,,,,,,
75-79,"7,039","3,628","3,411","6,124","3,196","2,928",915,432,483,,"9,557","4,844","4,713","8,112","4,103","4,009","1,445",741,704,,,,,,,,,,,,,,,
80+,"9,140","4,449","4,691","7,964","3,963","4,001","1,176",486,690,,"13,513","6,246","7,267","11,425","5,307","6,118","2,088",939,"1,149",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 8.1 : Kilwa District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 8.1 : Kilwa District Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"171,057","82,322","88,735","157,038","75,758","81,280","14,019","6,564","7,455",,"188,287","90,164","98,123","169,773","81,611","88,162","18,514","8,553","9,961",,,,,,,,,,,,,,,
0-4,"27,597","13,710","13,887","25,827","12,835","12,992","1,770",875,895,,"29,146","14,478","14,668","26,763","13,279","13,484","2,383","1,199","1,184",,,,,,,,,,,,,,,
9-May,"26,515","13,562","12,953","24,857","12,780","12,077","1,658",782,876,,"29,733","15,058","14,675","27,427","13,927","13,500","2,306","1,131","1,175",,,,,,,,,,,,,,,
4-Oct,"22,077","11,370","10,707","20,321","10,522","9,799","1,756",848,908,,"24,782","12,507","12,275","22,616","11,508","11,108","2,166",999,"1,167",,,,,,,,,,,,,,,
15-19,"17,944","8,814","9,130","16,314","8,048","8,266","1,630",766,864,,"17,035","8,583","8,452","15,052","7,672","7,380","1,983",911,"1,072",,,,,,,,,,,,,,,
20-24,"14,184","6,010","8,174","12,693","5,363","7,330","1,491",647,844,,"13,906","5,768","8,138","12,173","5,052","7,121","1,733",716,"1,017",,,,,,,,,,,,,,,
25-29,"12,946","5,670","7,276","11,633","5,080","6,553","1,313",590,723,,"13,490","5,571","7,919","11,812","4,894","6,918","1,678",677,"1,001",,,,,,,,,,,,,,,
30-34,"10,673","4,953","5,720","9,538","4,439","5,099","1,135",514,621,,"12,265","5,509","6,756","10,740","4,829","5,911","1,525",680,845,,,,,,,,,,,,,,,
35-39,"8,057","3,779","4,278","7,250","3,385","3,865",807,394,413,,"10,424","4,749","5,675","9,255","4,220","5,035","1,169",529,640,,,,,,,,,,,,,,,
40-44,"6,352","3,000","3,352","5,722","2,677","3,045",630,323,307,,"8,130","3,876","4,254","7,238","3,437","3,801",892,439,453,,,,,,,,,,,,,,,
45-49,"4,570","2,138","2,432","4,135","1,940","2,195",435,198,237,,"7,750","3,163","4,587","6,762","2,843","3,919",988,320,668,,,,,,,,,,,,,,,
50-54,"4,644","2,047","2,597","4,252","1,865","2,387",392,182,210,,"5,117","2,749","2,368","4,655","2,450","2,205",462,299,163,,,,,,,,,,,,,,,
55-59,"2,940","1,340","1,600","2,700","1,218","1,482",240,122,118,,"3,203","1,728","1,475","2,892","1,547","1,345",311,181,130,,,,,,,,,,,,,,,
60-64,"3,858","1,698","2,160","3,606","1,585","2,021",252,113,139,,"3,676","1,820","1,856","3,375","1,647","1,728",301,173,128,,,,,,,,,,,,,,,
65-69,"2,746","1,254","1,492","2,587","1,188","1,399",159,66,93,,"2,479","1,189","1,290","2,318","1,102","1,216",161,87,74,,,,,,,,,,,,,,,
70-74,"2,635","1,305","1,330","2,471","1,236","1,235",164,69,95,,"2,731","1,321","1,410","2,548","1,239","1,309",183,82,101,,,,,,,,,,,,,,,
75-79,"1,357",710,647,"1,269",670,599,88,40,48,,"1,638",826,812,"1,543",777,766,95,49,46,,,,,,,,,,,,,,,
80+,"1,962",962,"1,000","1,863",927,936,99,35,64,,"2,782","1,269","1,513","2,604","1,188","1,416",178,81,97,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 8.2 : Lindi District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 8.2 : Lindi District Council : Total Population by  Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"214,882","101,960","112,922","184,162","87,647","96,515","30,720","14,313","16,407",,"192,675","90,877","101,798","181,067","85,500","95,567","11,608","5,377","6,231",,,,,,,,,,,,,,,
0-4,"28,697","14,024","14,673","24,921","12,149","12,772","3,776","1,875","1,901",,"24,938","12,421","12,517","23,592","11,765","11,827","1,346",656,690,,,,,,,,,,,,,,,
9-May,"25,800","12,904","12,896","22,574","11,350","11,224","3,226","1,554","1,672",,"26,375","13,126","13,249","24,946","12,412","12,534","1,429",714,715,,,,,,,,,,,,,,,
4-Oct,"23,975","12,347","11,628","20,663","10,685","9,978","3,312","1,662","1,650",,"23,382","11,823","11,559","22,009","11,113","10,896","1,373",710,663,,,,,,,,,,,,,,,
15-19,"20,586","10,268","10,318","17,589","8,818","8,771","2,997","1,450","1,547",,"14,217","7,399","6,818","13,229","6,915","6,314",988,484,504,,,,,,,,,,,,,,,
20-24,"18,242","7,860","10,382","15,554","6,704","8,850","2,688","1,156","1,532",,"12,817","5,356","7,461","11,983","5,008","6,975",834,348,486,,,,,,,,,,,,,,,
25-29,"17,010","7,618","9,392","14,393","6,452","7,941","2,617","1,166","1,451",,"12,594","5,269","7,325","11,809","4,941","6,868",785,328,457,,,,,,,,,,,,,,,
30-34,"14,131","6,409","7,722","11,972","5,400","6,572","2,159","1,009","1,150",,"13,043","5,757","7,286","12,278","5,405","6,873",765,352,413,,,,,,,,,,,,,,,
35-39,"12,187","5,496","6,691","10,318","4,669","5,649","1,869",827,"1,042",,"12,083","5,527","6,556","11,305","5,179","6,126",778,348,430,,,,,,,,,,,,,,,
40-44,"10,376","4,760","5,616","8,743","4,002","4,741","1,633",758,875,,"10,090","4,622","5,468","9,430","4,314","5,116",660,308,352,,,,,,,,,,,,,,,
45-49,"7,952","3,475","4,477","6,742","2,951","3,791","1,210",524,686,,"10,216","4,038","6,178","9,341","3,806","5,535",875,232,643,,,,,,,,,,,,,,,
50-54,"9,050","3,990","5,060","7,701","3,398","4,303","1,349",592,757,,"7,417","3,513","3,904","7,004","3,299","3,705",413,214,199,,,,,,,,,,,,,,,
55-59,"6,275","2,828","3,447","5,291","2,412","2,879",984,416,568,,"4,972","2,238","2,734","4,694","2,098","2,596",278,140,138,,,,,,,,,,,,,,,
60-64,"6,887","3,155","3,732","5,856","2,691","3,165","1,031",464,567,,"6,384","3,015","3,369","6,065","2,838","3,227",319,177,142,,,,,,,,,,,,,,,
65-69,"5,111","2,400","2,711","4,388","2,074","2,314",723,326,397,,"4,340","2,052","2,288","4,095","1,946","2,149",245,106,139,,,,,,,,,,,,,,,
70-74,"3,886","1,962","1,924","3,361","1,712","1,649",525,250,275,,"4,082","1,953","2,129","3,859","1,845","2,014",223,108,115,,,,,,,,,,,,,,,
75-79,"2,153","1,165",988,"1,879","1,029",850,274,136,138,,"2,459","1,243","1,216","2,328","1,162","1,166",131,81,50,,,,,,,,,,,,,,,
80+,"2,564","1,299","1,265","2,217","1,151","1,066",347,148,199,,"3,266","1,525","1,741","3,100","1,454","1,646",166,71,95,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 8.3:  Nachingwea District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 8.3:  Nachingwea District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"161,473","78,494","82,979","138,969","67,481","71,488","22,504","11,013","11,491",,"174,450","83,855","90,595","150,465","72,313","78,152","23,985","11,542","12,443",,,,,,,,,,,,,,,
0-4,"22,342","11,230","11,112","19,421","9,760","9,661","2,921","1,470","1,451",,"21,618","10,778","10,840","18,980","9,444","9,536","2,638","1,334","1,304",,,,,,,,,,,,,,,
9-May,"20,478","10,306","10,172","17,927","9,010","8,917","2,551","1,296","1,255",,"23,068","11,527","11,541","20,383","10,178","10,205","2,685","1,349","1,336",,,,,,,,,,,,,,,
4-Oct,"19,107","9,736","9,371","16,475","8,472","8,003","2,632","1,264","1,368",,"21,626","11,100","10,526","18,601","9,598","9,003","3,025","1,502","1,523",,,,,,,,,,,,,,,
15-19,"15,893","7,882","8,011","13,395","6,649","6,746","2,498","1,233","1,265",,"14,720","7,653","7,067","12,056","6,302","5,754","2,664","1,351","1,313",,,,,,,,,,,,,,,
20-24,"14,453","6,385","8,068","11,912","5,204","6,708","2,541","1,181","1,360",,"13,139","5,809","7,330","10,881","4,841","6,040","2,258",968,"1,290",,,,,,,,,,,,,,,
25-29,"13,808","6,445","7,363","11,630","5,418","6,212","2,178","1,027","1,151",,"12,950","5,752","7,198","10,859","4,769","6,090","2,091",983,"1,108",,,,,,,,,,,,,,,
30-34,"10,999","5,243","5,756","9,319","4,447","4,872","1,680",796,884,,"12,258","5,459","6,799","10,341","4,597","5,744","1,917",862,"1,055",,,,,,,,,,,,,,,
35-39,"8,646","4,039","4,607","7,366","3,433","3,933","1,280",606,674,,"11,601","5,437","6,164","10,011","4,739","5,272","1,590",698,892,,,,,,,,,,,,,,,
40-44,"7,171","3,418","3,753","6,129","2,911","3,218","1,042",507,535,,"8,959","4,218","4,741","7,741","3,615","4,126","1,218",603,615,,,,,,,,,,,,,,,
45-49,"5,615","2,624","2,991","4,867","2,218","2,649",748,406,342,,"8,715","3,297","5,418","7,454","2,852","4,602","1,261",445,816,,,,,,,,,,,,,,,
50-54,"5,574","2,625","2,949","4,841","2,259","2,582",733,366,367,,"5,828","2,965","2,863","5,090","2,546","2,544",738,419,319,,,,,,,,,,,,,,,
55-59,"4,117","1,954","2,163","3,652","1,712","1,940",465,242,223,,"4,300","2,132","2,168","3,825","1,856","1,969",475,276,199,,,,,,,,,,,,,,,
60-64,"4,162","2,066","2,096","3,737","1,845","1,892",425,221,204,,"4,457","2,269","2,188","3,967","2,005","1,962",490,264,226,,,,,,,,,,,,,,,
65-69,"3,388","1,715","1,673","3,069","1,559","1,510",319,156,163,,"3,194","1,548","1,646","2,885","1,380","1,505",309,168,141,,,,,,,,,,,,,,,
70-74,"2,407","1,225","1,182","2,200","1,116","1,084",207,109,98,,"3,086","1,499","1,587","2,804","1,361","1,443",282,138,144,,,,,,,,,,,,,,,
75-79,"1,429",698,731,"1,303",631,672,126,67,59,,"2,070","1,083",987,"1,922","1,001",921,148,82,66,,,,,,,,,,,,,,,
80+,"1,884",903,981,"1,726",837,889,158,66,92,,"2,861","1,329","1,532","2,665","1,229","1,436",196,100,96,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 8.4: Liwale District Council  : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 8.4: Liwale District Council  : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
